Part Instance,Node ID,Values,Measurement Type,Element Type,Interpolation Type,Element Size,Number of Elements,Time Taken (s)
OSSO-4,D,0.0894114,"S, Mises",quad,quad,0.25,64144,28.0
OSSO-4,A,0.291923,"S, Mises",tri,lin,10.0,122,16.0
OSSO-4,B,0.137609,"S, Mises",tri,lin,10.0,122,16.0
OSSO-4,C,0.0804607,"S, Mises",tri,lin,10.0,122,16.0
OSSO-4,D,0.321668,"S, Mises",tri,lin,10.0,122,16.0
OSSO-4,A,0.00258119,"U, Magnitude",quad,quad,3.0,504,17.0
OSSO-4,B,0.00421167,"U, Magnitude",quad,quad,3.0,504,17.0
OSSO-4,C,0.00554891,"U, Magnitude",quad,quad,3.0,504,17.0
OSSO-4,D,0.00120321,"U, Magnitude",quad,quad,3.0,504,17.0
OSSO-4,A,0.224095,"S, Mises",quad,lin,3.0,504,16.0
OSSO-4,B,0.158156,"S, Mises",quad,lin,3.0,504,16.0
OSSO-4,C,0.0971908,"S, Mises",quad,lin,3.0,504,16.0
OSSO-4,D,0.120277,"S, Mises",quad,lin,3.0,504,16.0
OSSO-4,A,0.00255104,"U, Magnitude",tri,lin,2.0,1737,16.0
OSSO-4,B,0.00416667,"U, Magnitude",tri,lin,2.0,1737,16.0
OSSO-4,C,0.00548807,"U, Magnitude",tri,lin,2.0,1737,16.0
OSSO-4,D,0.00118249,"U, Magnitude",tri,lin,2.0,1737,16.0
OSSO-4,A,0.215419,"S, Mises",tri,quad,3.0,884,16.0
OSSO-4,B,0.181088,"S, Mises",tri,quad,3.0,884,16.0
OSSO-4,C,0.10826,"S, Mises",tri,quad,3.0,884,16.0
OSSO-4,D,0.0937627,"S, Mises",tri,quad,3.0,884,16.0
OSSO-4,A,0.0025861,"U, Magnitude",tri,quad,0.25,104618,33.0
OSSO-4,B,0.00421902,"U, Magnitude",tri,quad,0.25,104618,33.0
OSSO-4,C,0.00555967,"U, Magnitude",tri,quad,0.25,104618,33.0
OSSO-4,D,0.00120668,"U, Magnitude",tri,quad,0.25,104618,33.0
OSSO-4,A,0.21672,"S, Mises",quad,quad,5.0,231,17.0
OSSO-4,B,0.177904,"S, Mises",quad,quad,5.0,231,17.0
OSSO-4,C,0.114005,"S, Mises",quad,quad,5.0,231,17.0
OSSO-4,D,0.0891673,"S, Mises",quad,quad,5.0,231,17.0
OSSO-4,A,0.22347,"S, Mises",tri,quad,10.0,122,17.0
OSSO-4,B,0.184468,"S, Mises",tri,quad,10.0,122,17.0
OSSO-4,C,0.129003,"S, Mises",tri,quad,10.0,122,17.0
OSSO-4,D,0.105643,"S, Mises",tri,quad,10.0,122,17.0
OSSO-4,A,0.00258522,"U, Magnitude",quad,quad,1.0,4017,16.0
OSSO-4,B,0.00421766,"U, Magnitude",quad,quad,1.0,4017,16.0
OSSO-4,C,0.00555762,"U, Magnitude",quad,quad,1.0,4017,16.0
OSSO-4,D,0.00120608,"U, Magnitude",quad,quad,1.0,4017,16.0
OSSO-4,A,0.00258587,"U, Magnitude",quad,quad,0.5,16027,18.0
OSSO-4,B,0.00421865,"U, Magnitude",quad,quad,0.5,16027,18.0
OSSO-4,C,0.00555908,"U, Magnitude",quad,quad,0.5,16027,18.0
OSSO-4,D,0.00120652,"U, Magnitude",quad,quad,0.5,16027,18.0
OSSO-4,A,0.215015,"S, Mises",quad,quad,0.5,16027,18.0
OSSO-4,B,0.17891,"S, Mises",quad,quad,0.5,16027,18.0
OSSO-4,C,0.105857,"S, Mises",quad,quad,0.5,16027,18.0
OSSO-4,D,0.0894067,"S, Mises",quad,quad,0.5,16027,18.0
OSSO-4,A,0.215913,"S, Mises",tri,lin,0.25,104618,23.0
OSSO-4,B,0.177464,"S, Mises",tri,lin,0.25,104618,23.0
OSSO-4,C,0.105029,"S, Mises",tri,lin,0.25,104618,23.0
OSSO-4,D,0.0879235,"S, Mises",tri,lin,0.25,104618,23.0
OSSO-4,A,0.223152,"S, Mises",tri,lin,2.0,1737,16.0
OSSO-4,B,0.163712,"S, Mises",tri,lin,2.0,1737,16.0
OSSO-4,C,0.100435,"S, Mises",tri,lin,2.0,1737,16.0
OSSO-4,D,0.098933,"S, Mises",tri,lin,2.0,1737,16.0
OSSO-4,A,0.00258902,"U, Magnitude",quad,lin,2.0,1024,17.0
OSSO-4,B,0.00423006,"U, Magnitude",quad,lin,2.0,1024,17.0
OSSO-4,C,0.00558178,"U, Magnitude",quad,lin,2.0,1024,17.0
OSSO-4,D,0.00120987,"U, Magnitude",quad,lin,2.0,1024,17.0
OSSO-4,A,0.21477,"S, Mises",tri,lin,0.5,26716,19.0
OSSO-4,B,0.176611,"S, Mises",tri,lin,0.5,26716,19.0
OSSO-4,C,0.104707,"S, Mises",tri,lin,0.5,26716,19.0
OSSO-4,D,0.0860747,"S, Mises",tri,lin,0.5,26716,19.0
OSSO-4,A,0.00258275,"U, Magnitude",tri,lin,0.5,26716,19.0
OSSO-4,B,0.00421424,"U, Magnitude",tri,lin,0.5,26716,19.0
OSSO-4,C,0.00555364,"U, Magnitude",tri,lin,0.5,26716,19.0
OSSO-4,D,0.00120439,"U, Magnitude",tri,lin,0.5,26716,19.0
OSSO-4,A,0.215081,"S, Mises",tri,quad,0.25,104618,33.0
OSSO-4,B,0.179217,"S, Mises",tri,quad,0.25,104618,33.0
OSSO-4,C,0.10594,"S, Mises",tri,quad,0.25,104618,33.0
OSSO-4,D,0.0897578,"S, Mises",tri,quad,0.25,104618,33.0
OSSO-4,A,0.21536,"S, Mises",quad,quad,2.0,1024,16.0
OSSO-4,B,0.178555,"S, Mises",quad,quad,2.0,1024,16.0
OSSO-4,C,0.106641,"S, Mises",quad,quad,2.0,1024,16.0
OSSO-4,D,0.0895436,"S, Mises",quad,quad,2.0,1024,16.0
OSSO-4,A,0.214805,"S, Mises",tri,quad,0.5,26716,20.0
OSSO-4,B,0.179451,"S, Mises",tri,quad,0.5,26716,20.0
OSSO-4,C,0.106058,"S, Mises",tri,quad,0.5,26716,20.0
OSSO-4,D,0.0902532,"S, Mises",tri,quad,0.5,26716,20.0
OSSO-4,A,0.215003,"S, Mises",quad,lin,0.25,64144,21.0
OSSO-4,B,0.178939,"S, Mises",quad,lin,0.25,64144,21.0
OSSO-4,C,0.105825,"S, Mises",quad,lin,0.25,64144,21.0
OSSO-4,D,0.0894114,"S, Mises",quad,lin,0.25,64144,21.0
OSSO-4,A,0.00259969,"U, Magnitude",quad,lin,3.0,504,16.0
OSSO-4,B,0.00423983,"U, Magnitude",quad,lin,3.0,504,16.0
OSSO-4,C,0.00559905,"U, Magnitude",quad,lin,3.0,504,16.0
OSSO-4,D,0.00120831,"U, Magnitude",quad,lin,3.0,504,16.0
OSSO-4,A,0.00258641,"U, Magnitude",quad,lin,0.5,16027,16.0
