Part Instance,Node ID,Attached elements,Values,Measurement Type,Element Type,Interpolation Type,Element Size
OSSO-4,A,375,0.00250024,"U, Magnitude",tri,lin,3.0
OSSO-4,B,113,0.0040874,"U, Magnitude",tri,lin,3.0
OSSO-4,B,115,0.0040874,"U, Magnitude",tri,lin,3.0
OSSO-4,B,144,0.0040874,"U, Magnitude",tri,lin,3.0
OSSO-4,C,63,0.00536895,"U, Magnitude",tri,lin,3.0
OSSO-4,C,118,0.00536895,"U, Magnitude",tri,lin,3.0
OSSO-4,C,175,0.00536895,"U, Magnitude",tri,lin,3.0
OSSO-4,D,75,0.00114957,"U, Magnitude",tri,lin,3.0
OSSO-4,D,178,0.00114957,"U, Magnitude",tri,lin,3.0
OSSO-4,D,309,0.00114957,"U, Magnitude",tri,lin,3.0
OSSO-4,A,67,0.00258284,"U, Magnitude",tri,quad,2.0
OSSO-4,A,428,0.00258284,"U, Magnitude",tri,quad,2.0
OSSO-4,A,623,0.00258284,"U, Magnitude",tri,quad,2.0
OSSO-4,B,433,0.00421451,"U, Magnitude",tri,quad,2.0
OSSO-4,B,543,0.00421451,"U, Magnitude",tri,quad,2.0
OSSO-4,B,630,0.00421451,"U, Magnitude",tri,quad,2.0
OSSO-4,C,440,0.00555392,"U, Magnitude",tri,quad,2.0
OSSO-4,C,618,0.00555392,"U, Magnitude",tri,quad,2.0
OSSO-4,C,635,0.00555392,"U, Magnitude",tri,quad,2.0
OSSO-4,D,228,0.00120443,"U, Magnitude",tri,quad,2.0
OSSO-4,D,496,0.00120443,"U, Magnitude",tri,quad,2.0
OSSO-4,D,499,0.00120443,"U, Magnitude",tri,quad,2.0
OSSO-4,A,1278,0.00258612,"U, Magnitude",quad,quad,0.25
OSSO-4,A,1327,0.00258612,"U, Magnitude",quad,quad,0.25
OSSO-4,B,1119,0.00421903,"U, Magnitude",quad,quad,0.25
OSSO-4,B,20920,0.00421903,"U, Magnitude",quad,quad,0.25
OSSO-4,C,1962,0.00555965,"U, Magnitude",quad,quad,0.25
OSSO-4,C,2094,0.00555965,"U, Magnitude",quad,quad,0.25
OSSO-4,D,4512,0.00120669,"U, Magnitude",quad,quad,0.25
OSSO-4,D,21183,0.00120669,"U, Magnitude",quad,quad,0.25
OSSO-4,A,26,0.00200621,"U, Magnitude",tri,lin,10.0
OSSO-4,A,83,0.00200621,"U, Magnitude",tri,lin,10.0
OSSO-4,A,95,0.00200621,"U, Magnitude",tri,lin,10.0
OSSO-4,B,63,0.00327231,"U, Magnitude",tri,lin,10.0
OSSO-4,B,77,0.00327231,"U, Magnitude",tri,lin,10.0
